language,language_name,prompt_id,variant_type,seed,image_path,mean_luma,contrast_luma,edge_density,entropy,colorfulness,phash_bits
en,English,S06_quantity_shift,quantity_shift,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S06_quantity_shift_seed2026051801_00001_.png,200.50970458984375,30.66325333025746,0.02655029296875,5.458712731659114,41.45103714215722,1010110111000011110000000011110000010011111000101110110011001101
en,English,S06_quantity_shift,quantity_shift,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S06_quantity_shift_seed2026051802_00001_.png,193.30421447753906,37.34751996937921,0.062225341796875,5.924726897130073,113.63591531559271,1010111111100110110000110000110110011000100100101100010100110110
en,English,S07_base,base,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S07_base_seed2026051801_00001_.png,124.87712097167969,82.31139380151517,0.0732269287109375,6.964734558153327,5.482833251429366,1010011111000111110110010111110110100110000000101100000101011000
en,English,S07_base,base,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S07_base_seed2026051802_00001_.png,78.170166015625,66.27608316931084,0.1047515869140625,7.272644239533048,9.275826164891868,1010101110001011110000010101100111001011100010011000100101011101
en,English,S07_synonym,synonym,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S07_synonym_seed2026051801_00001_.png,178.13050842285156,100.76644413116725,0.0901336669921875,4.309229627649499,2.7330851534625897,1010111111100000110100000011110001101011010010111110010011001000
en,English,S07_synonym,synonym,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S07_synonym_seed2026051802_00001_.png,133.67140197753906,108.69967663121743,0.0859832763671875,5.250832019236751,3.0567683940398327,1011111111100101100100000100001110011010000110111000010101011010
en,English,S07_word_order,word_order,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S07_word_order_seed2026051801_00001_.png,137.56951904296875,70.28472143017092,0.15399169921875,7.861193150023132,6.654259126307076,1100111110000111110100010111110010001010111000010011000001001110
en,English,S07_word_order,word_order,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S07_word_order_seed2026051802_00001_.png,98.95988464355469,58.54406142334844,0.1813201904296875,7.627261382677799,8.282933111927198,1010101011001011100110010101100111010001101000111100100110000011
en,English,S07_attribute_swap,attribute_swap,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S07_attribute_swap_seed2026051801_00001_.png,107.72636413574219,82.15021989418419,0.1000213623046875,7.62599211168693,4.376926288287175,1100111110001011111000000111111000001111011010010110100000100100
en,English,S07_attribute_swap,attribute_swap,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S07_attribute_swap_seed2026051802_00001_.png,72.96676635742188,61.70857803058057,0.1338043212890625,7.172568754440078,13.15148401644454,1010101111001011110010000100100111001011100000111100000111011001
en,English,S08_base,base,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S08_base_seed2026051801_00001_.png,187.95761108398438,38.20220359390017,0.0409088134765625,4.251103184775479,10.27170715155445,1111110010000011110100000111110110000111010110001110000101010010
en,English,S08_base,base,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S08_base_seed2026051802_00001_.png,137.86126708984375,36.22221807174516,0.0396575927734375,6.0999694755085265,8.321861872463288,1011011011100101110010010001001010101101001111100101000010100101
en,English,S08_synonym,synonym,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S08_synonym_seed2026051801_00001_.png,208.16433715820312,32.746047872337485,0.0287628173828125,2.6308963725951666,6.584176676597446,1011110010000111110000000011110010011111110110001110000001010011
en,English,S08_synonym,synonym,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S08_synonym_seed2026051802_00001_.png,173.00146484375,59.801852002937046,0.0707550048828125,6.662245824051933,12.761211244375778,1011111111111011110010010000000111100011010000111100000100000011
en,English,S08_word_order,word_order,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S08_word_order_seed2026051801_00001_.png,178.94259643554688,27.549124947939713,0.0223541259765625,4.446358581358549,15.02830620391233,1011110010001011110000000110110110011111010111001010000111000100
en,English,S08_word_order,word_order,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S08_word_order_seed2026051802_00001_.png,143.30970764160156,53.97105265697825,0.0341339111328125,6.788460860984361,12.622237315058076,1011111111100000110100001000010111011010000111101100100100111000
en,English,S08_attribute_swap,attribute_swap,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S08_attribute_swap_seed2026051801_00001_.png,180.84083557128906,64.7711131613184,0.030426025390625,3.8351598397592648,25.64938192933599,1011110010001011110000000111010010011110100011101110010101110000
en,English,S08_attribute_swap,attribute_swap,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S08_attribute_swap_seed2026051802_00001_.png,126.16719055175781,66.08902690408577,0.042999267578125,6.422136372393367,37.14373991937344,1011111111100010110000000001110110100000011001101101010110100011
