prompt_id,variant_type,seed,language,language_name,phash_distance_to_en,ssim_to_en,structural_drift_to_en,hist_l1_to_en
S05_attribute_swap,attribute_swap,2026051801,en,English,0.0,1.0,0.0,0.0
S05_attribute_swap,attribute_swap,2026051801,zh,Chinese,0.40625,0.08656137284636614,0.9134386271536339,0.8541259765625
S05_attribute_swap,attribute_swap,2026051801,hi,Hindi,0.5625,0.05508790103405748,0.9449120989659425,1.64892578125
S05_attribute_swap,attribute_swap,2026051801,es,Spanish,0.4375,0.49409151882528424,0.5059084811747158,1.74151611328125
S05_attribute_swap,attribute_swap,2026051801,fr,French,0.40625,-0.028650105161765842,1.0286501051617658,1.5872802734375
S05_attribute_swap,attribute_swap,2026051802,en,English,0.0,1.0,0.0,0.0
S05_attribute_swap,attribute_swap,2026051802,zh,Chinese,0.40625,0.2176156137445582,0.7823843862554418,1.969268798828125
S05_attribute_swap,attribute_swap,2026051802,hi,Hindi,0.375,0.168577672506066,0.831422327493934,1.998748779296875
S05_attribute_swap,attribute_swap,2026051802,es,Spanish,0.1875,0.7460597167223106,0.25394028327768936,1.248382568359375
S05_attribute_swap,attribute_swap,2026051802,fr,French,0.28125,0.39535365528363386,0.6046463447163661,1.53094482421875
S05_base,base,2026051801,en,English,0.0,1.0,0.0,0.0
S05_base,base,2026051801,zh,Chinese,0.40625,0.08316175930492567,0.9168382406950744,0.79742431640625
S05_base,base,2026051801,hi,Hindi,0.46875,0.01987924979919077,0.9801207502008092,1.93450927734375
S05_base,base,2026051801,es,Spanish,0.375,0.48004237051384585,0.5199576294861541,1.706390380859375
S05_base,base,2026051801,fr,French,0.40625,0.1906443333491936,0.8093556666508064,1.66900634765625
S05_base,base,2026051802,en,English,0.0,1.0,0.0,0.0
S05_base,base,2026051802,zh,Chinese,0.5,0.17604892722463159,0.8239510727753684,1.96478271484375
S05_base,base,2026051802,hi,Hindi,0.4375,0.1902446945037554,0.8097553054962446,1.899200439453125
S05_base,base,2026051802,es,Spanish,0.3125,0.6358200704203776,0.3641799295796224,1.3314208984375
S05_base,base,2026051802,fr,French,0.28125,0.4856472933541957,0.5143527066458042,1.400421142578125
S05_quantity_shift,quantity_shift,2026051801,en,English,0.0,1.0,0.0,0.0
S05_quantity_shift,quantity_shift,2026051801,zh,Chinese,0.3125,0.03887383991362949,0.9611261600863705,1.62066650390625
S05_quantity_shift,quantity_shift,2026051801,hi,Hindi,0.5,0.12944286012484646,0.8705571398751535,1.947021484375
S05_quantity_shift,quantity_shift,2026051801,es,Spanish,0.09375,0.8569576692302,0.1430423307698,1.6644287109375
S05_quantity_shift,quantity_shift,2026051801,fr,French,0.3125,0.7961725001367514,0.20382749986324855,0.937957763671875
S05_quantity_shift,quantity_shift,2026051802,en,English,0.0,1.0,0.0,0.0
S05_quantity_shift,quantity_shift,2026051802,zh,Chinese,0.4375,0.18978068501369577,0.8102193149863042,1.92529296875
S05_quantity_shift,quantity_shift,2026051802,hi,Hindi,0.40625,0.24170565869409377,0.7582943413059062,1.982452392578125
S05_quantity_shift,quantity_shift,2026051802,es,Spanish,0.3125,0.566488281089453,0.43351171891054696,1.18792724609375
S05_quantity_shift,quantity_shift,2026051802,fr,French,0.25,0.7334037718749028,0.2665962281250972,0.8665771484375
S05_synonym,synonym,2026051801,en,English,0.0,1.0,0.0,0.0
S05_synonym,synonym,2026051801,zh,Chinese,0.46875,0.036145482435888006,0.963854517564112,0.699859619140625
S05_synonym,synonym,2026051801,hi,Hindi,0.53125,-0.22793273952724277,1.2279327395272428,1.64276123046875
S05_synonym,synonym,2026051801,es,Spanish,0.40625,0.40233168029962507,0.5976683197003749,1.76800537109375
S05_synonym,synonym,2026051801,fr,French,0.40625,0.08260040460606,0.91739959539394,1.74951171875
